Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
Dirk Nowitzki,PF,40,DAL,51,795,3.37,0.07,-0.39,-0.1,0.35,-0.47,-0.26,-0.82,-0.17,-0.29,137.05
Jusuf Nurkić,C,24,POR,72,1974,-0.45,0.87,1.02,1.09,-0.75,2.1,2.71,1.11,2.76,1.24,364.68
David Nwaba,SG,26,CLE,51,984,0.02,0.07,-0.16,-0.4,-0.46,-0.18,-0.23,0.02,-0.21,-0.37,111.65
Royce O'Neale,SF,25,UTA,82,1671,-0.21,1.26,0.66,-0.19,0.17,-0.53,0.38,0.58,0.03,-0.18,162.88
Semi Ojeleye,PF,24,BOS,56,594,-0.45,0.26,-0.63,-0.68,-0.37,-0.55,-0.62,-0.79,-0.66,-0.67,67.88
Jahlil Okafor,C,23,NOP,59,935,-0.69,0.37,-0.22,-0.14,-0.9,-0.15,0.34,-0.64,0.59,-0.07,147.7
Elie Okobo,PG,21,PHO,53,958,-1.17,0.14,-0.2,-0.33,-0.1,-0.49,-0.56,-0.11,-0.55,-0.43,105.22
Josh Okogie,SG,20,MIN,74,1757,-1.41,0.95,0.76,0.25,0.42,0.45,0.04,1.63,0.35,0.11,201.7
Kelly Olynyk,PF,27,MIA,79,1812,0.26,1.14,0.82,0.4,1.07,0.63,0.83,0.55,0.48,0.55,266.12
Cedi Osman,SF,23,CLE,76,2444,-0.69,1.03,1.58,1.14,1.41,0.6,0.74,0.76,-0.41,0.97,320.83
Kelly Oubre Jr.,SF,23,TOT,69,1935,-0.69,0.76,0.97,1.14,1.19,1.12,0.58,1.51,1.24,1.08,329.8
Zaza Pachulia,C,34,DET,68,878,1.93,0.72,-0.29,-0.59,-0.91,0.14,0.28,-0.14,-0.21,-0.51,103.4
Jabari Parker,PF,23,TOT,64,1724,-0.69,0.57,0.72,0.89,0.29,0.63,1.06,0.33,0.24,0.84,289.52
Tony Parker,PG,36,CHO,56,1003,2.41,0.26,-0.14,0.13,-0.61,0.14,-0.64,-0.45,-0.55,0.03,142.27
Patrick Patterson,PF,29,OKC,63,861,0.74,0.53,-0.31,-0.52,-0.07,-0.63,-0.31,-0.6,-0.34,-0.59,94.78
Chris Paul,PG,33,HOU,58,1857,1.7,0.34,0.88,0.81,1.29,0.78,0.28,2.44,-0.17,0.79,291.88
Mason Plumlee,C,28,DEN,82,1731,0.5,1.26,0.73,0.07,-0.87,0.74,1.58,0.95,1.83,0.25,224.12
Jakob Poeltl,C,23,SAS,77,1273,-0.69,1.07,0.18,-0.33,-0.93,-0.12,1.01,-0.2,1.55,-0.19,155.62
Quincy Pondexter,SF,30,SAS,53,292,0.98,0.14,-0.99,-0.94,-0.82,-0.53,-0.82,-0.76,-0.76,-0.85,33.48
Otto Porter,SF,25,TOT,56,1683,-0.21,0.26,0.67,0.61,0.67,-0.09,0.52,1.45,0.28,0.54,256.38
Dwight Powell,C,27,DAL,77,1662,0.26,1.07,0.64,0.19,-0.14,1.2,1.01,0.27,0.93,0.61,246.48
Norman Powell,SG,25,TOR,60,1126,-0.21,0.41,0.01,-0.04,0.13,-0.26,-0.36,0.11,-0.34,-0,157.88
Julius Randle,PF,24,NOP,73,2232,-0.45,0.91,1.32,1.79,0.29,3.1,2.13,0.52,0.76,2.14,448.72
J.J. Redick,SG,34,PHI,76,2379,1.93,1.03,1.5,1.63,2.86,1.21,-0.12,-0.11,-0.21,1.75,397.4
Josh Richardson,SG,25,MIA,73,2539,-0.21,0.91,1.69,1.62,1.95,1.01,0.27,1.35,0.38,1.41,372.75
Austin Rivers,SG,26,TOT,76,2028,0.02,1.03,1.08,0.42,1.12,-0.1,-0.24,0.36,0,0.21,211.43
Mitchell Robinson,C,20,NYK,66,1360,-1.41,0.64,0.28,-0.33,-0.93,0.23,1.07,0.52,4.76,-0.06,180.93
Derrick Rose,PG,30,MIN,51,1392,0.98,0.07,0.32,0.9,-0.02,0.43,-0.35,-0.14,-0.38,0.82,242.32
Terrence Ross,SG,27,ORL,81,2150,0.26,1.22,1.23,1.63,2.62,0.3,0.35,1.14,0.21,1.44,386.05
Terry Rozier,PG,24,BOS,79,1791,-0.45,1.14,0.8,0.67,1.18,-0.11,0.49,1.01,-0.07,0.39,255.33
Ricky Rubio,PG,28,UTA,68,1899,0.5,0.72,0.93,0.84,0.66,0.99,0.17,1.73,-0.45,0.71,269.42
D'Angelo Russell,PG,22,BRK,81,2448,-0.93,1.22,1.58,2.93,3.05,0.8,0.53,2.01,-0.1,2.44,513.28
Domantas Sabonis,C,22,IND,74,1838,-0.93,0.95,0.85,0.76,-0.82,1.5,2.42,0.39,0.24,1.07,318.88
Dario Šarić,PF,24,TOT,81,2023,-0.45,1.22,1.07,0.75,1.09,0.35,1.24,0.3,-0.48,0.7,293.28
Tomáš Satoranský,PG,27,WAS,80,2164,0.26,1.18,1.24,0.31,0.08,0.43,0.35,1.45,-0.34,0.39,222.52
Dennis Schröder,PG,25,OKC,79,2314,-0.21,1.14,1.42,1.83,1.35,0.98,0.37,0.92,-0.38,1.44,368.6
Mike Scott,PF,30,TOT,79,1395,0.98,1.14,0.33,0.02,0.65,-0.6,0.33,-0.29,-0.34,-0.12,177.85
Wayne Selden,SG,24,TOT,75,1439,-0.45,0.99,0.38,0.18,0.16,-0.12,-0.15,-0.08,-0.34,-0,170.95
Collin Sexton,PG,20,CLE,82,2605,-1.41,1.26,1.77,2.1,0.92,1.21,0.13,0.27,-0.59,1.74,383.7
Landry Shamet,SG,21,TOT,79,1802,-1.17,1.14,0.81,0.38,1.55,-0.11,-0.38,0.05,-0.45,0.42,229.72
Iman Shumpert,SG,28,TOT,62,1481,0.5,0.49,0.43,0.08,0.78,-0.51,-0.13,0.73,0.03,-0.1,175.22
Pascal Siakam,PF,24,TOR,80,2548,-0.45,1.18,1.7,1.41,0.41,1.59,1.71,1.17,1,1.71,395.03
Ben Simmons,PG,22,PHI,79,2700,-0.93,1.14,1.88,1.45,-0.89,2.61,2.45,2.38,1.31,1.67,399.65
Jonathon Simmons,SG-SF,29,TOT,56,1064,0.74,0.26,-0.07,-0.17,-0.28,-0.08,-0.42,-0.2,-0.28,-0.31,122.35
Marcus Smart,SG,24,BOS,80,2200,-0.45,1.18,1.29,0.41,1.24,0.18,0.12,3.34,0.17,0.39,249.98
Dennis Smith Jr.,PG,21,TOT,53,1508,-1.17,0.14,0.46,0.63,0.37,0.4,-0.27,0.98,-0.1,0.42,221.25
Ish Smith,PG,30,DET,56,1251,0.98,0.26,0.15,0.2,-0.09,-0.37,-0.33,-0.23,-0.41,-0.03,157.45
Tony Snell,SF,27,MIL,74,1304,0.26,0.95,0.22,-0.14,0.35,-0.53,-0.26,-0.29,-0.17,-0.15,149.8
Nik Stauskas,SG,25,TOT,68,1015,-0.21,0.72,-0.13,-0.2,0.25,-0.35,-0.42,-0.45,-0.55,-0.24,134.2
Lance Stephenson,SG,28,LAL,68,1123,0.5,0.72,0,0.05,0.3,-0.28,0.03,0.17,-0.55,-0.05,170.1
Jayson Tatum,SF,20,BOS,79,2455,-1.41,1.14,1.59,1.65,1.02,0.99,1.34,1.51,1.17,1.48,391.38
Garrett Temple,SG,32,TOT,75,2040,1.46,0.99,1.1,0.21,0.72,-0,0.03,1.26,0.24,0.14,204.83
Daniel Theis,C,26,BOS,66,908,0.02,0.64,-0.25,-0.39,-0.51,-0.25,0.08,-0.45,0.66,-0.29,126.38
Klay Thompson,SG,28,GSW,78,2652,0.5,1.1,1.82,2.62,2.82,0.41,0.45,1.51,0.83,2.37,492.75
Sindarius Thornwell,SG,24,LAC,64,313,-0.45,0.57,-0.96,-0.97,-0.84,-0.6,-0.83,-0.67,-0.55,-0.93,28.77
Anthony Tolliver,PF,33,MIN,65,1079,1.7,0.6,-0.05,-0.41,0.42,-0.38,-0.16,-0.57,-0.07,-0.39,127.65
Karl-Anthony Towns,C,23,MIN,77,2545,-0.69,1.07,1.7,2.39,1.29,2.79,3.74,0.98,3.52,2.78,582.3
Allonzo Trier,SG,23,NYK,64,1459,-0.69,0.57,0.4,0.28,-0.1,0.94,-0.06,-0.23,-0.31,0.36,200.9
P.J. Tucker,PF,33,HOU,82,2802,1.7,1.26,2,0.29,1.49,-0.39,1.35,3,0.55,0.17,265.05
Evan Turner,PG,30,POR,73,1605,0.98,0.91,0.58,0.08,-0.61,-0.01,0.6,-0.08,-0.17,-0.05,169.48
Myles Turner,C,22,IND,74,2119,-0.93,0.95,1.19,0.97,0.3,0.77,1.62,0.76,6.07,0.95,339.55
Ekpe Udoh,C,31,UTA,51,320,1.22,0.07,-0.96,-0.91,-0.93,-0.63,-0.6,-0.79,0.28,-0.81,43.77
