Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Kris Dunn,PG,25,CHI,51,1269,342,29,112,230,54,186,173,101,17,373,311.29999999999995
Carsen Edwards,SG,21,BOS,37,351,128,24,76,52,19,47,24,12,4,121,92.55000000000003
Henry Ellenson,PF,23,BRK,5,15,7,0,4,3,0,6,1,0,0,2,4.45
Wayne Ellington,SG,32,NYK,36,558,174,50,143,31,13,65,44,13,4,183,141.50000000000003
Joel Embiid,C,25,PHI,51,1506,801,57,172,629,435,593,152,45,65,1172,512.35
James Ennis,SF,29,TOT,69,1265,359,55,169,190,98,245,63,35,22,454,318.79999999999995
James Ennis,SF,29,PHI,49,776,226,37,106,120,61,150,41,23,14,285,198.4
James Ennis,SF,29,ORL,20,489,133,18,63,70,37,95,22,12,8,169,120.4
Drew Eubanks,PF,22,SAS,22,272,67,1,1,66,26,85,15,5,17,107,71.79999999999998
Jacob Evans,SG,22,TOT,29,418,134,13,39,95,29,41,31,11,12,128,100.74999999999999
Jacob Evans,SG,22,GSW,27,414,133,13,38,95,29,41,31,11,12,128,99.74999999999999
Jacob Evans,SG,22,MIN,2,4,1,0,1,0,0,0,0,0,0,0,1
Dante Exum,SG,24,TOT,35,485,119,15,43,76,43,67,40,13,8,159,118.45000000000002
Dante Exum,SG,24,UTA,11,83,23,2,6,17,2,12,7,1,2,24,20.45
Dante Exum,SG,24,CLE,24,402,96,13,37,59,41,55,33,12,6,135,97.99999999999999
Tacko Fall,C,24,BOS,7,33,14,0,0,14,3,15,1,1,4,23,11.25
Derrick Favors,C,28,NOP,51,1243,339,1,7,332,71,501,81,30,46,459,326.75000000000006
Cristiano Felício,PF,27,CHI,22,386,54,0,2,52,23,102,16,10,2,86,86.74999999999999
Terrance Ferguson,SF,21,OKC,56,1257,220,49,168,52,20,74,51,27,17,220,261.15
Bruno Fernando,C,21,ATL,56,713,199,5,37,162,51,198,49,18,17,240,182.40000000000003
Yogi Ferrell,PG,26,SAC,50,530,188,24,79,109,42,49,69,18,4,218,140.65000000000003
Dorian Finney-Smith,PF,26,DAL,71,2120,522,114,303,219,108,405,114,45,39,678,514.8
Bryn Forbes,SG,26,SAS,63,1579,581,148,381,200,90,126,108,33,0,707,411.1
Evan Fournier,SG,27,ORL,66,2076,929,173,434,495,220,171,209,71,15,1221,586.4499999999999
De'Aaron Fox,PG,22,SAC,51,1634,815,54,185,630,342,196,348,74,25,1077,497.25
Melvin Frazier,SG,23,ORL,19,126,34,8,16,18,4,10,3,9,2,40,31.65
Michael Frazier,SG,25,HOU,13,145,29,4,23,6,14,10,2,2,0,27,31.499999999999993
Tim Frazier,PG,29,DET,27,355,94,10,30,64,24,33,93,14,4,97,89.80000000000001
Markelle Fultz,PG,21,ORL,72,1996,772,36,135,637,159,238,369,90,11,870,524.9000000000001
Wenyen Gabriel,PF,22,TOT,30,235,48,6,20,28,22,52,8,11,7,63,58.95
Wenyen Gabriel,PF,22,SAC,11,61,17,1,8,9,10,10,3,3,2,19,16.35
Wenyen Gabriel,PF,22,POR,19,174,31,5,12,19,12,42,5,8,5,44,42.6
Daniel Gafford,C,21,CHI,43,609,134,0,0,134,60,106,21,13,56,220,149.09999999999997
Danilo Gallinari,PF,31,OKC,62,1834,817,178,439,378,298,322,119,42,5,1160,544.6999999999999
Langston Galloway,SG,28,DET,66,1702,542,132,331,211,85,149,101,48,11,677,424.90000000000003
Darius Garland,PG,20,CLE,59,1824,699,105,296,403,72,111,229,42,4,728,457.7
Marc Gasol,C,35,TOR,44,1161,279,57,148,131,49,275,147,34,38,331,292.75
Rudy Gay,PF,33,SAS,67,1461,596,74,220,376,136,362,114,35,33,726,411.2
Paul George,SF,29,LAC,48,1419,782,157,381,401,217,272,185,68,20,1033,462.55
Taj Gibson,C,34,NYK,62,1025,286,4,14,272,56,267,52,27,30,379,256.75
Harry Giles,PF,21,SAC,46,667,251,0,2,249,49,188,60,22,18,316,182.45
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,1015,87,251,764,357,412,232,79,47,1331,674.6500000000001
Rudy Gobert,C,27,UTA,68,2333,557,0,0,557,403,916,101,51,135,1026,631.0500000000001
Brandon Goodwin,PG,24,ATL,34,430,190,26,87,103,30,72,51,12,4,206,122.04999999999998
Aaron Gordon,PF,24,ORL,62,2017,767,73,237,530,224,475,228,51,39,894,549.2500000000001
Eric Gordon,SF,31,HOU,36,1016,463,96,303,160,107,71,54,23,13,520,279.1500000000001
Devonte' Graham,PG,24,CHO,63,2211,963,218,585,378,233,212,471,62,15,1145,642.4499999999999
Treveon Graham,SG,26,TOT,55,929,242,33,120,122,56,150,45,24,6,243,218.60000000000002
